ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
107	-0.00440335	-0.0386896	0.0189936	-0.0253529	-0.0192378	-0.0143911	0.0324897	0.0408712	-0.0414986	-0.017877
108	0.00151151	-0.00236516	0.0368746	0.0302293	0.0010773	0.0253785	-0.0047521	-0.013745	0.0685574	0.0580054
109	-0.00489176	-0.0120312	-0.0174102	0.0255151	0.00688808	-0.0521638	0.00622208	-0.0136021	-0.0377977	0.0306385
110	-0.00751946	0.0384564	-0.0267558	0.0375877	-0.013057	0.0033961	0.0145843	-0.0216105	0.000100962	0.0252748
111	0.001956	0.020426	-0.0375264	0.0339828	-0.00874872	0.0179185	-0.0114039	-0.0261248	-0.00578053	-0.015487
112	0.0110086	-0.00252632	0.0422144	0.0324935	0.0714761	0.0404534	-0.00154936	0.0949983	-0.0290147	-0.059636
113	-0.0199118	0.02806	-0.0155399	-0.0445214	-0.000384549	0.0465892	-0.0291155	0.0112078	-0.00431325	0.0396335
114	-0.0252556	-0.0227491	-0.013919	-0.0479391	0.00409727	0.0343275	0.0479748	-0.0343632	-0.0315489	-0.0307267
115	0.0132552	-0.000351423	-0.013081	-0.0243245	0.00292512	-0.0290353	-0.0200073	-0.0507371	-0.0112823	0.0179812
116	-0.00771095	-0.0116767	0.0108394	0.0232302	0.0643614	0.0279659	0.0337237	-0.0247214	-0.00951748	-0.00907475
117	-0.0102358	0.0207389	0.0110552	0.0400543	0.0105394	-0.0236305	0.047095	-0.0231904	-0.0243753	0.0283489
118	-1.82E-05	-0.0172868	-0.00337173	0.0431936	0.0415239	-0.000271321	0.0223492	-0.0211799	-0.0165372	0.00309247
120	-0.0156261	0.0102711	-0.0141523	0.00564992	0.0164199	0.0324652	-0.0332794	-0.0125542	0.0112317	0.013124
121	-0.010958	-0.0208596	0.0145404	0.00667308	0.00110478	-0.0195177	0.0290037	0.0165137	0.0306191	-0.00385674
122	-0.0200268	0.00475101	0.0334634	0.0281807	0.0152272	-0.00665867	-0.010812	-0.00155371	-0.0491913	0.00226903
123	0.133001	-0.009674	0.0859739	0.0177416	-0.0726611	0.0213695	-0.0468221	-0.0918907	0.0132775	-0.0431966
124	0.0026366	-0.0150503	0.00493899	-0.0251693	-0.0552797	-0.00958048	-0.0253622	-0.0490022	0.0356487	-0.0486121
125	-0.0196784	-0.0353843	-0.00972708	0.0289761	0.0110518	-0.0570063	-0.00274758	0.032535	0.0637301	0.0377977
126	-0.0135794	-0.0560388	-0.0109483	-0.00179525	-0.0571722	-0.0215628	0.0266886	-0.00035339	0.0386299	0.0239744
127	-0.0142722	-0.00309437	0.0057048	0.0201147	-0.0187302	0.00621478	0.00102631	0.0380531	-0.0152745	0.0120491
128	0.00215282	-0.00140076	0.0120444	-0.00374985	0.050875	0.0397071	-0.0139826	-0.021199	0.0178589	-0.0352086
129	0.00577224	-0.00855665	2.84E-05	-0.0158882	0.0427051	0.0480069	0.0438588	-0.0212699	-0.00930368	0.0473104
130	-0.00784736	0.0343563	0.00351781	-0.00716758	0.037449	-0.0173627	-0.0777874	-0.00837767	0.0740374	-0.0607809
131	-0.0052777	0.0027507	-0.0581649	-0.043961	0.0392064	0.01353	-0.0895906	0.0446692	-0.0158305	-0.0458198
132	-0.00281703	0.01398	-0.0160114	-0.0261566	0.0278661	0.0335477	-0.0129654	0.0319826	0.0266885	0.0158853
133	-0.00945179	0.0089634	0.0120897	-0.00342697	0.0161341	0.00512737	0.0885633	-0.0168363	-0.0155063	0.00509488
134	-0.0185862	0.00905523	0.0200734	-0.0456144	0.0294754	0.0235725	-0.0213716	0.0127253	-0.00159734	-0.0138481
136	-0.000479238	-0.00518232	-0.00702865	0.0371286	-0.0284158	0.0189206	0.0336975	-0.045674	-0.032311	-0.0175354
137	0.00492586	0.0238495	0.0332764	0.00674213	-0.00890207	0.00839719	0.0155941	-0.0149204	-0.0221447	0.0239525
138	-0.0242574	-0.0512071	-0.00451911	-0.0233817	-0.0459741	0.0180046	-0.00309554	-0.0195052	-0.0263087	0.0222817
