"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32" "PC33" "PC34" "PC35" "PC36" "PC37" "PC38" "PC39" "PC40" "PC41" "PC42" "PC43" "PC44" "PC45" "PC46" "PC47" "PC48" "PC49" "PC50"
"X2" 74.1833291058807 -14.035594209081 15.7223462025316 -7.76595023733876 31.2074906047599 4.95125298784868 -1.26272808157163 39.14223368727 -24.6799894114239 16.2404860797849 -42.7308713090181 7.07050063433729 -15.0257252755105 15.6621978263194 -6.14986423397924 27.6038477557768 -22.7612617118483 8.06578753513423 -18.6045113791012 14.2564556243732 -6.65467989552119 11.7487484331978 -5.64338621763912 16.7526374486504 -10.3029285980615 8.27884564538948 -23.0926622329649 5.01755149809866 -2.03348075288335 2.82187320916822 -1.87522726917618 6.03241942904398 -10.2778806924288 7.80471732540494 -6.42971107647766 -6.37257504313106 -4.07929884878645 18.9875532643768 -2.80683369168594 -10.777178135744 -0.535600411971417 6.40444361207737 3.60054307295713 4.64217482119206 14.9617356868597 -7.79546216094547 12.3007470669815 -6.08205532134893 9.25550580652546 -21.1263577571048
"X3" 76.0388196695601 36.0525121170507 37.298266427612 36.5582614847689 -12.2161313700878 16.4347036760891 -41.4483570997095 9.89327763950338 -12.1588722510415 5.51535840175482 -33.3558641524588 40.4060033699199 -12.43376470492 -8.5744100178113 -0.143923167964172 -2.75918013468801 -19.0427777026353 15.6839387644399 -35.5756999621384 22.2653984262218 -17.3116491727 30.6293082304767 -13.7138446679397 8.97841992441591 10.6226176494536 6.0338724794859 -8.06894925854426 -6.40576680856662 -8.40663346480805 3.68472882346845 14.8931509576301 0.612702381907756 -20.9347734829904 -2.23925733314315 -10.4259765554786 -15.130879417868 5.13997255736329 19.8058462463413 3.08551112417175 -1.75070979617427 -12.2496837847973 5.8266632184172 -19.73478767803 -13.4591408456896 -15.6587387686874 -0.89576057633872 -6.64432794365845 2.88042471324543 -13.4612158374573 1.88096698880811
"X4" 77.2090699544314 10.9391770660395 -23.7605135767783 23.3520286489718 16.8245519224185 7.11684781766897 -35.166410020736 -6.76677709984484 -2.27325306944862 18.9174822838933 -12.5030996722134 8.80374164780099 10.1469343780333 -3.67785225154672 -1.52067332819003 8.69956403114469 0.478952607732295 11.1800145287945 -19.3232161432369 0.728362691154441 -3.06339275442864 6.54308603524989 -10.950820759191 6.08964661607038 5.97990536870357 -2.3759289656118 -7.84283525766686 0.513451845302085 -5.88301186976458 -5.97127470424396 13.0067698538157 0.726657541372094 -6.34045410358096 0.216249918945106 7.17593303201253 -9.22684478691082 -6.95279760404228 6.7736868355614 -0.89505510939739 3.22695072033178 5.45032543172959 7.69232310114356 3.71703600443555 7.99776457498358 8.00766287209952 9.42787308885806 5.99197130528934 5.15311958998857 13.4907537296896 4.00489734331943
"X5" 4.92145331510121 76.1558657929143 -9.32581369864038 -25.3470500288226 16.363433144148 39.0612675715496 -76.8897770365759 6.45232977126459 -0.417260888813171 15.9286544540197 -24.6813541154188 -8.19831014670688 -3.33423771072133 -15.9822186256098 -17.0266342603985 4.38546668242049 -18.5009605798079 21.4141875583144 4.26068066615787 3.3171779817508 4.74488358725641 -5.9541930542168 -3.30517879791102 1.09726883743123 0.373401314429857 -9.17112552670107 -6.08170864211945 2.01078914185622 -4.34091267647347 -3.63181875449027 0.945573105462694 -0.506371691039912 -4.62264842210715 1.99064885969575 1.66696239670791 -3.91081789192717 4.00329042568445 9.4654660830221 1.05021047276974 -4.18492484354412 7.10385972500654 0.616108068488877 12.6344614855895 -9.23541315323661 6.28429145154715 -4.23337322671261 8.22214305833542 4.03825693997023 13.0767896734401 -0.0112489456266548
"X8" -3.46697992956399 119.33110153443 -24.736127639213 0.870707736787669 -25.124124897719 39.1228296156223 -92.6873640372849 20.4802806989553 -48.0147467683757 -17.2717450433452 -16.6073441600597 52.1768298687553 -44.4102357176898 -22.4885538822435 -26.058984918771 -3.6937763433362 4.11756881010429 23.1701490409356 25.296121422901 8.67540972974622 7.38326632689474 -3.63235825825062 -2.55500199142961 -5.29817916486886 9.95110042260056 -7.16894625966317 -8.36583565136825 2.35790938589371 20.8634864067796 -3.35830036283752 -14.689445334919 -0.285025823360795 -9.51349636629605 21.1683055476717 4.32041745008199 -21.2731896452416 11.3680398594657 -3.09384831068866 4.95036763024798 -6.69027378970392 12.24861199153 -9.74789245377081 11.4644936838892 -11.6560902134283 15.6216972499066 -22.1924821761887 5.93969878383145 6.31081990316951 -21.4516327330168 -0.0616356833480683
"X9" 50.8429227766739 44.381451760413 -39.0742289575317 27.3088841661926 -10.8371827052025 13.5534401858017 -71.0331112718489 -6.12121356852538 -41.4175208225968 -6.50771859870556 -32.2539258454522 15.8248313426635 0.735851450579037 -24.1704588889293 -22.6191672200593 12.5497318381978 2.01665096974251 -0.465093383230757 19.2475189755166 -2.83833645647155 18.0135778022625 -1.32646164836275 -4.31685832334382 6.36035841557895 6.81109293493818 1.35953924767157 -2.15266719325152 5.11987372075063 6.15599024290423 -0.974084760570208 -8.57972218406685 -9.0771620979295 -6.68418874931594 13.9201157511157 7.02519296235767 4.47315167709889 -1.40270536259677 -3.57976718588923 2.51672356023616 0.72342805184141 -7.37485046102182 -3.55966279424421 -1.63765825285076 -1.20087058095388 16.1275802844261 6.67413940433652 4.60788078046621 7.9751818702391 -8.33609188608724 4.30458033139705
"X10" 24.0953630305688 35.8040964940159 4.61480130976573 6.84399587409236 11.6219657916703 -4.39020971975707 -10.3185331844993 -13.2902918902524 -14.027210063314 -0.451296166047855 0.923240346672898 -22.4064669195218 -35.8172299185948 -4.8077190801021 -10.7069646650056 -0.71512767198856 6.99140218164336 -1.44460444454736 -3.84676812716475 -5.09276490893336 0.58329219579265 7.96561227210352 -4.280237359598 20.9423619718241 -0.337261008939292 -3.96955259188035 -9.08174028228873 9.85568366377786 -2.25614223784931 4.57304188053163 -4.5040747293064 -6.25997663621636 -1.84545970912613 -3.60830469253008 -1.1627569538149 6.4382363351086 -3.44075438921284 -1.68941813057539 3.3578541315574 -4.56008018829183 -6.72181775193552 -0.720514058510066 -4.80311918512112 -7.39521516193366 -0.491223009764549 4.68229285527205 7.62666995937376 -3.20350946702952 -1.89036243456683 -4.7540048678524
"X11" 37.5692216425996 50.1706943550601 9.51579264259815 39.1249478622068 -5.43143348372815 -26.1057513035528 -44.0258840096532 -2.96564102622276 -6.32552882530494 -6.23436653546158 -15.1454740920672 3.76798742498772 -3.56551692829898 2.78798776876683 -10.7973939212511 7.14010981860801 -7.43279482774301 5.37315643862103 3.87102112113221 0.878041441442355 1.7441270969936 3.56325408139961 -3.31593094293698 8.14349575420245 2.21698143718774 4.04594701522405 2.50629042066587 -0.915777143720178 0.440997885717975 10.2602986920031 1.37937113209923 -4.30364659743619 0.670737875784667 -0.266162704642033 5.71470617934929 2.45030190409648 -3.4549741773159 7.61986340740923 6.62285679239011 -5.6829862800731 -11.7237629568381 3.04296999710365 -5.36406728497814 -5.29981940662673 -4.20958787007126 1.52447747374864 -2.57680879576391 4.82489459566588 -3.88551850387849 8.02411830651172
"X12" 8.66632279953107 38.0950258913297 1.78536054990814 -38.0776579876835 6.64490863252263 11.9602013628419 4.6842314826193 -2.71590942857899 -13.3619945338834 9.57378912356175 -17.2206281430691 -14.1011958106291 31.5406140182373 27.8593135620314 -8.29137954340074 4.62130526574532 9.23395499732952 15.5207244763956 -24.392058268867 -3.76379365033495 9.15435039475134 8.05207907166983 -17.8666983894037 -1.51398920544198 -4.35051085782338 4.15431695364075 -11.5294975626349 8.09742356011298 -10.3002860176684 3.40790100162705 21.3936322563033 6.65132210924994 -9.4752228303649 10.3206337166937 -9.18087300133163 -3.76516495285775 4.83080495308518 6.74329414299918 5.62795691788129 11.2398613922484 14.3187467429828 10.1752551300935 24.979568296831 -18.9528940337576 11.351329656669 -10.9850166384491 11.3317913634257 1.03036882348581 35.669779216435 20.8444739425008
"X13" -8.41450330869639 98.7643829809887 -7.75971927778509 -16.2184053755674 16.1921276740248 34.5688545737896 -63.1704219188534 -3.08761513946475 -18.6029461868123 -5.41167170647279 -21.2657084045164 8.85179275313684 -2.83802536385699 -25.0117463377275 -25.282881927871 10.6451862289354 -4.88187591537142 1.74084477417655 7.73113525691266 -9.00471328881565 11.6263216505115 -6.34395102175186 -0.00472832340778731 7.93602354919806 1.47151442330748 -3.70443463658451 9.83007931938157 -3.5314731322938 -2.5063867720553 11.9181722831892 -8.60735576436861 -8.25628898787664 2.02037296923312 4.3097865127178 -2.38412053796938 -0.662380096640008 8.0628411494942 -9.893116488205 6.49520759535142 12.4712813064713 -2.27267409211062 0.835077014641718 5.9276888154578 -7.53773336665381 -7.69579000026416 -4.53300243681859 4.20026309687875 4.01079388959728 1.68586527496785 1.29075118818045
