"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X2" 11.49924092 7.278410247 12.2126671 10.8929447 12.86508684 8.331080774 11.57698092 8.490955141 7.007174425 12.5954355 6.879978908 15.25495927 7.018607107 13.49138693 13.17565011 13.6694202 8.884501206 6.998481508 7.279538503 7.36176156 7.328597865 9.477640575 7.048258298 7.119322525 8.026387544 6.955271837 6.227926754 9.021166742
"X3" 11.59114799 7.11826614 11.56906363 10.93462729 14.73040381 8.000501914 11.58020062 8.941509388 7.048468472 13.24807063 6.854789639 14.97260113 6.984372939 13.92985067 12.98576257 13.29665652 7.220788101 7.032600531 7.347838383 7.191819363 7.32103035 9.087831927 7.013286751 7.124794415 7.83919149 7.151671081 5.934708941 9.809559053
"X4" 10.74963959 7.089981742 11.74048473 10.98478867 15.24444194 9.204022483 11.60615296 9.047973064 7.204854785 13.24860362 6.809253837 15.15916015 7.026132632 13.40294534 13.29738142 13.18784758 9.220314883 7.05463737 7.187936233 7.268806475 7.147823714 9.022724979 7.087639368 7.094270531 7.946228319 7.150622075 6.136968325 10.30025625
"X5" 11.60216061 7.536749775 12.33721915 10.85641175 15.60228922 9.801212054 11.50283158 9.671081755 7.196902391 13.54047265 6.774390319 15.07252807 7.088023493 13.90210359 12.90796651 13.34376236 8.979807579 7.033674888 7.361165187 7.210184541 7.087121112 8.645215968 7.110831357 7.098389077 7.806245525 7.046111798 5.913847206 11.34635977
"X8" 11.87702317 7.514383285 11.99933255 10.93383956 15.67016733 9.415390781 11.49782627 8.231402495 7.183712345 13.72032475 6.808719744 15.04892248 7.082626526 13.90320346 13.31326833 13.49100137 8.364278096 7.003732068 7.432199514 7.36880953 7.013667082 8.415967823 7.232777202 7.091444274 8.166292244 7.02682955 6.535745637 11.97204043
"X9" 11.82630511 7.110798556 12.02508958 10.98863804 15.60161652 9.612454153 11.66478629 7.909542677 7.33009432 13.68927831 6.897029633 15.38507786 6.982242664 13.5553198 13.20640368 13.10215141 8.932957101 7.040746245 7.208823051 7.264208396 7.139890295 8.742156232 7.063481862 7.07943732 8.043560619 7.086118982 6.173608879 10.73375191
"X10" 11.65491164 7.357673572 12.42433969 10.80755832 15.37149786 9.684048373 11.63955302 7.838670342 7.869578734 13.62204595 6.946790475 15.17976888 7.034429802 12.85405212 13.20957096 13.38524641 9.570377316 7.048752702 7.268217454 7.346312024 7.110731104 9.496133158 7.069081889 7.087541601 7.761585089 7.006868501 7.391511895 9.989084762
"X11" 11.87625259 7.276038189 11.92900212 10.86672325 15.31492309 9.595256695 11.41816841 8.891649317 7.059528201 13.69466671 6.844759701 14.97952708 7.139844756 13.67070326 13.031885 13.27005408 9.317781719 7.021604401 7.290516517 7.161063566 7.247347766 8.94929825 7.206782575 7.006626852 8.017911179 7.200739484 6.353336657 9.839214716
"X12" 9.891000776 7.588873452 12.75954492 10.95184568 14.18138789 9.24812789 11.55516848 8.60427858 8.15377726 12.6210621 6.874281493 15.25535982 7.0799959 12.91398229 13.13636892 13.11972404 9.219299222 6.940965568 7.475406688 7.449921289 7.0486009 8.903332639 7.07731012 7.122285907 7.945274138 7.01454207 6.003799153 9.18331168
"X13" 11.54215601 7.165284247 12.310173 10.84068873 15.37875694 9.692307594 11.49695934 8.836138565 7.032239196 13.71062224 6.9702712 14.8274192 7.025402603 13.69011152 12.80520891 12.8857136 9.22134763 7.040427255 7.399679196 7.186956135 7.284910261 8.945591468 7.121874114 7.04624003 8.12456937 7.024806885 6.111729617 11.0977178
"X15" 11.79044393 7.187903912 12.72677365 10.86166876 15.50219328 9.851651707 11.50983977 8.819785509 7.194604008 13.6657704 6.945730252 15.00414516 6.923865481 13.69268917 13.14415271 13.06686374 8.648081657 7.022370752 7.506822739 7.269166226 7.267653417 8.488471578 7.02237549 7.068147562 8.20817872 7.005733501 6.571841451 10.52856995
"X60" 11.49801324 7.155952508 12.54459155 11.43363814 14.71092048 10.19781521 11.91382113 8.27530345 7.263207129 12.43781431 6.842584918 15.5246937 7.094893892 12.63307798 13.03295996 12.89349205 9.038323241 7.048799942 7.392141256 7.411880004 7.186935827 8.823470475 7.001496874 7.016341601 8.151326044 6.937346392 6.64006661 8.783683828
