"cyto" "RNA" "cytokine"
"X102" 1.33608151833694 -0.546323170401693 "GRO.alpha"
"X103" 1.27877784788422 0.467983380226363 "GRO.alpha"
"X104" 0.297985923244705 -0.197780157747831 "GRO.alpha"
"X105" 1.12167738224283 -0.103896878578564 "GRO.alpha"
"X106" 0.791657968942044 0.304606125622143 "GRO.alpha"
"X107" 0.640402863795931 0.418241098777786 "GRO.alpha"
"X108" 0.665033312089771 0.601657216024165 "GRO.alpha"
"X109" 0.741220644599665 0.584029772225797 "GRO.alpha"
"X110" -0.496144405573172 0.0956719482534614 "GRO.alpha"
"X111" -1.24569368950056 -0.187806643994617 "GRO.alpha"
"X112" 0.40648332826714 -0.00687026623488893 "GRO.alpha"
"X113" -0.0813800210492394 0.875817153352405 "GRO.alpha"
"X114" -1.03746663172945 -0.0236494160297615 "GRO.alpha"
"X115" -0.916557614442332 -0.199675819032758 "GRO.alpha"
"X116" -0.574731336562459 0.468710424413094 "GRO.alpha"
"X117" -0.354071707627547 0.0315722279225495 "GRO.alpha"
"X118" -1.11902125342949 -0.394071231732657 "GRO.alpha"
"X119" -1.18254168825787 0.474351179926751 "GRO.alpha"
"X120" -0.213710075884071 0.268065331779625 "GRO.alpha"
"X121" -0.798290938186632 0.122501878900108 "GRO.alpha"
"X122" -0.481235410485267 -0.686174596321491 "GRO.alpha"
"X123" 1.51083971196471 0.782154895099962 "GRO.alpha"
"X124" 0.54359245328289 0.233943468242051 "GRO.alpha"
"X125" -0.865709472455834 -0.142897483764059 "GRO.alpha"
"X127" 0.802546561711542 0.247894531950102 "GRO.alpha"
"X128" 0.772933551756568 1.31500161714655 "GRO.alpha"
"X129" 0.795666014836417 0.678653424592577 "GRO.alpha"
"X130" 0.539681164337474 0.690926092424745 "GRO.alpha"
"X131" 1.79066110761126 0.0715473501979728 "GRO.alpha"
"X132" -1.09511322444014 -0.109438051826222 "GRO.alpha"
"X133" 1.25552308353761 0.475145835256879 "GRO.alpha"
"X134" -0.782074917754573 0.0144888216122653 "GRO.alpha"
"X135" -0.65412393958022 -0.353058491224726 "GRO.alpha"
"X136" -0.488798559808167 -0.656192343111113 "GRO.alpha"
"X137" -1.63549506973711 -0.979473969227726 "GRO.alpha"
"X138" 0.340521279894015 0.14270030386026 "GRO.alpha"
"X139" -0.90908429724868 -0.514081679333441 "GRO.alpha"
"X140" 0.104810888437659 0.206282711562575 "GRO.alpha"
"X141" -0.0448278389416822 0.301271707917778 "GRO.alpha"
"X142" -0.102841836598163 -0.800987939125921 "GRO.alpha"
"X143" 1.10007620327018 0.708225174595694 "GRO.alpha"
"X144" -0.16621305593656 -0.888010534045649 "GRO.alpha"
"X145" -0.0243567620521112 0.341451785795221 "GRO.alpha"
"X146" 0.0974728951233982 -0.983633782756987 "GRO.alpha"
"X147" -0.446209429017832 0.705594939142268 "GRO.alpha"
"X148" 0.298274925424406 -0.282877313840147 "GRO.alpha"
"X149" -1.52360236883355 -0.465125357883646 "GRO.alpha"
"X150" 0.328596058465128 0.26854993447735 "GRO.alpha"
"X151" 1.24142263439006 -1.14073291211372 "GRO.alpha"
"X152" -2.01433456615378 -1.18076398538363 "GRO.alpha"
"X153" -0.690803717790061 -0.626762072126278 "GRO.alpha"
"X154" -0.312740202289186 -0.592097776781442 "GRO.alpha"
"X155" 0.350314234011702 -0.104304855400295 "GRO.alpha"
"X156" -0.563753683855464 0.0652086930209693 "GRO.alpha"
"X157" -0.304823247209802 0.38215596913515 "GRO.alpha"
"X158" 1.46722079323542 0.258169608232953 "GRO.alpha"
