"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32" "PC33" "PC34" "PC35" "PC36" "PC37" "PC38" "PC39" "PC40" "PC41" "PC42" "PC43" "PC44" "PC45" "PC46" "PC47" "PC48" "PC49" "PC50"
"X1" -45.642376598236 21.6333399568211 -39.5359585356847 4.95433540553047 16.3660608547091 -11.3697196163661 35.2958447710742 -32.8210128844148 10.5698632368218 -16.1235211403464 18.4173221051997 -2.03812972559274 27.7480147378569 -0.754962432842419 20.2105555136173 -12.8085648358988 5.59388910409791 -4.0085268404453 22.2279372852863 -10.3473658848916 4.8930261026102 -8.99135906032839 2.7131784895243 -2.15032612815209 1.62234726287476 -7.42791007125994 -3.57511057656052 7.24185553691354 -5.84523253087235 4.36331591193116 -5.66585431713578 2.399596110292 -1.58784086050491 19.4139232886944 -6.19152686646177 2.77615869677636 -6.11433945321837 4.81156396507732 -10.2145659943336 4.22303107285345 -4.56065831499922 7.02584028778637 -4.90625632267378 3.64737153087266 -0.668278286484561 -2.90271852840567 -4.96314784027068 1.91387019844034 4.04453001817308 -3.49318896382286
"X2" -61.7724181989535 -0.144541049632986 -46.0071528562237 31.0672021720756 -11.4828983847247 -33.4259632274466 -4.25668199825773 -9.22373425214081 22.6993138140946 21.4418759127955 17.1574903845618 -4.31751727091703 25.8326961185262 4.02352751587208 -3.12138984113 -7.70659074252937 9.88971651777154 2.30292550663512 12.0956252490863 -4.8953749121544 -3.39587732387639 -5.89356755666547 1.5346131465301 3.92228859755503 -3.3169092153066 -5.24309956975874 1.73612630385179 -2.69332213184998 -1.03556281065702 1.30759487014573 5.37480197526154 -7.73478024669618 -0.382904497669632 9.85692239318078 -2.07624418051966 11.3745053911751 -3.08822404634346 10.7584666023006 -3.78345929840401 4.6078586501109 2.6286803114648 4.13233198638712 -0.04810826016911 7.78630176863666 1.40248829582807 -4.67127001555617 -4.40982953492779 0.230143126887144 6.82594179226628 1.23900141487964
"X3" -8.85902365560592 -106.952801329465 -32.3942470085755 7.38869927652031 47.2889335054992 53.5680242579496 28.5558642904128 4.54351378387851 9.90102869867228 104.01694009344 24.0766990522461 -1.96810232955521 -3.29112207225727 -21.2446588108398 4.51798232202923 4.5730297182564 28.0118765104567 -33.3680453249903 30.1955781680567 16.4190738799515 -14.8574022124697 -16.0843499777107 -15.3531931928592 12.9216194440137 -13.6965476383464 35.6160747222253 16.4221073655718 10.7137412287598 0.318080652536798 -15.9893114285619 -10.623807614246 -37.1550852059468 11.4644679385247 25.662372330899 -51.0664513829911 -15.7589007586824 -36.6315568006596 -16.7018980851015 -12.6766966614148 7.35032419368518 17.4104174843435 -7.01020173063008 -37.2777458837539 -16.9577195910617 13.7392120506087 -31.1047512308235 11.0016614497401 -24.8357665472939 -30.97987076969 20.0160119497097
"X4" -37.9834379596997 -52.4708408132582 -12.8977080568168 31.6616212194623 4.77410289277712 -15.9257525481274 -1.30428987207508 -6.12221766989612 20.8944060190807 38.8693197457426 20.5827033831808 -13.3046088842822 10.0610930306366 5.86249206221975 -4.53163282707164 -1.69763664882346 10.9656804983956 10.1581019591817 12.1819799879185 1.33359485933093 -0.0301361942874297 -6.45645638076467 13.7957489264669 -4.4232924332998 1.85647911221414 -4.87404996254872 -11.2530131861288 1.40190929116622 12.6226803574126 -1.19232457391428 1.89056354703602 15.4110411151075 3.00661872610313 0.747226193321345 -1.36820004177071 5.36345205354275 -5.47030735061236 -3.68543557770675 -8.96780943370237 24.3270122708417 -4.29359831994342 3.45230805105011 11.6034126221338 12.3387374534482 4.9216809187968 -12.9158329112021 -0.7183562544367 1.41540320740841 2.37493616310015 -9.41840465076463
"X5" -43.2880241391576 -51.3635514275137 -35.7118533391584 26.8165393054158 -20.0143009260436 -11.0447643380351 2.64139210022685 -12.5563725197026 24.4332295352562 0.326857918256222 -2.93926661944379 -4.65895026704183 23.4766339057554 3.52336605737041 -0.730927284765777 3.91507193725915 -17.9429642527139 3.117338860527 -4.03314825872336 8.32080399962385 -13.3491307301818 3.98984685222054 22.038661642688 -0.990832864550411 4.25697465267508 8.64583551805738 0.462701394650072 11.3980257724452 9.09445623750305 4.46764512989442 11.9344513607546 4.47815805250602 -0.812911526092245 5.47193203052958 -6.44370134978142 -3.43219059566218 -7.67610803033988 -10.8528785898009 -8.36127097229885 11.8775840088842 8.58625138181145 2.58745666470122 2.29421770226578 1.978758963211 11.7380524185331 -4.31684428274819 3.87779412975998 3.85266558215931 -2.88602829816781 2.05449356819667
"X6" -10.035980289574 -26.1063381851283 9.30189385769566 42.7463538684983 0.434776786804715 3.57727426042806 -1.8138572570796 -15.335249668206 14.7819733632538 -11.3810144534681 18.9942669272175 -21.5892463931774 -2.33128978617248 -13.5354714247373 -8.38685930866984 3.52021214857744 1.93029043080462 6.43616484893666 6.17098102511415 -0.877007340621619 6.17444909541121 6.06228001697291 11.4183709657424 6.67173571061742 -4.23889963919839 -8.79006332727704 6.3289239418513 -7.4697225063109 -6.49715885465939 3.2068498430907 -6.54481508377688 6.33829954270676 -7.19928310785833 -3.72255197464892 -0.403122121221952 11.4238039678699 4.35858085670671 2.9470386654117 -3.04228947486048 -1.1641526495104 6.21935427353515 3.23657357479453 -6.08985876109353 2.24174862631011 13.7879473836628 0.117887422960556 13.7813509142586 -0.0465284407163972 -2.12445727523929 7.91139273307022
"X7" 68.388996100188 -81.7691330870199 20.9976471513523 37.9227607957823 4.61800736646142 23.9897623109169 -21.7616539097236 -15.8671199789707 0.813425457432971 -11.1583682215899 10.9894936785358 -7.6580423266605 -21.3651634680746 4.69406501049445 33.5014550209829 -24.6193121895425 -26.8869626114107 21.3706582426942 -23.7108014377868 10.0900912083238 4.24423268725751 2.58192574655367 50.7862145198402 38.1271253037739 58.0586929012453 -11.0860169941756 -76.2731169554238 -14.410520597928 -74.0764518117333 -75.169680203648 3.76015020028664 -59.6935391223558 -22.1120771108604 13.6972086336547 -5.74484825289446 1.47276855699825 -0.382109807705464 19.9210684195409 -13.8464598754657 31.993948861209 7.65062066205452 -3.5059903029576 -21.1409346960419 -2.68118878053574 7.87173341183646 13.8776186357268 1.74095622038362 -1.81447980212385 11.0803914266056 -5.60281443702513
"X8" 15.8837308343433 -49.8890467959348 -7.07810346996703 50.3654758848237 -4.58173299604184 1.39057228882757 -12.7253370003318 -4.61523482135702 -8.33215843821681 -5.98452049150203 14.421639262477 25.4071092535092 -2.49645021585677 -18.3699150114414 15.3287389158545 -4.16862496472539 -18.0099239205716 -10.3668871271538 -4.69145963257951 19.4477483610234 7.0506346054916 -26.7266183508093 -3.5863845401776 16.1736764874436 -6.46883695785969 -1.97447096483863 -7.63488955053402 6.68106058094493 25.9921997780153 -21.4657873110323 -14.7126293165365 3.31106618042804 5.98952322788028 -4.84846318088517 -16.5231329543571 -11.1574441418163 13.4026632145853 12.4615236869811 5.76895318028185 -7.43645869624509 -2.05189605387164 0.280926042728769 15.0398431907899 18.1785772921461 14.2666544235893 15.9712233808364 4.40094626506936 15.300459961402 5.44936919959418 36.0028767760268
"X9" 19.166406092199 12.2508075162611 29.1628973066472 27.2338966896719 31.8806388437633 0.56168290778921 -36.2522397600245 -14.2996598751684 -19.0341112844136 -2.87663972821299 19.907115267656 -5.85744653125954 -4.90851119471712 -11.2494121017812 -0.135973523778433 -8.00075744150941 9.61633783837313 -4.90807430564693 -12.3504348577652 -1.13619042705776 10.7547110683666 -12.4771025086948 -21.8443378053892 2.81128866678929 9.15285920472819 4.6092372721371 7.94904478912551 -1.33236991058611 -2.19024814541767 -3.25546886517568 -18.7644367436969 1.40500665719637 -7.20590457120481 -11.9874385784256 -5.63268194937326 -1.96608153030209 4.47317324823219 12.8584512251574 -9.19461219807038 -7.76811559569851 2.71075111991655 4.72348903614764 3.05386235976918 -6.04045464104821 6.71107224993004 1.53785584244557 -4.30629357827849 6.62125535270787 -14.4137426364031 2.10782289213012
"X10" 26.2630631637661 -31.0599738127242 35.2182201148365 6.15554457699765 11.0338936593076 2.62564136097092 11.2217973740912 -18.2235088972127 7.0054801224702 -7.4288217517989 -0.746525180143345 -29.2025720640828 4.4531063702341 12.5363399674424 21.4058579140859 18.5957569385696 -5.91780009936892 6.38105429259274 3.36961622902341 3.0393213340206 -10.5972221169887 7.11041900938114 -23.3671859927719 1.75981161874703 3.94016599034954 -9.84155718064803 1.69136153204134 -9.56686776539858 -1.22813269070588 3.80049238875816 11.9060306413334 16.9494608884577 -2.43297839996161 -20.7390503972101 0.607965491941325 -10.4462401624529 2.1206791255637 5.28512784577893 -20.8419424009697 0.13507323202591 -2.2861434353567 1.10560422797281 5.01094994812619 -13.7417813195383 10.8181954732525 14.5892205504311 6.34678459039525 -28.2217745544192 -5.46235161705705 0.31786641920357
