"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X59" 10.11416342 7.260076182 7.121856366 9.2934841 9.102055919 8.810478812 8.456252073 6.939046012 7.135430283 8.968584733 6.842759621 9.936473261 7.015915711 6.894306533 8.749373589 12.77944951 6.877304289 7.047458428 7.339864354 7.150441437 7.147884577 6.810212902 7.009463516 7.070889153 8.192074891 7.049042643 7.211656774 7.113529887
"X60" 10.31057072 7.097943353 6.967184909 9.105269012 8.750751347 7.836919932 8.278005539 6.961071557 7.194304006 7.705866782 6.88538358 9.018186414 7.033543337 6.508502603 7.988963108 12.92961986 7.243321981 6.994062814 7.319151774 7.152792502 7.235779871 7.258740506 7.033601906 7.025026051 7.873435229 7.077751498 6.823900733 7.092593332
"X61" 10.12923375 7.067917419 7.381550867 9.413681912 9.618597138 7.687971905 8.523397935 6.908749304 7.017691722 8.690681852 6.889831154 9.132526173 7.084857134 6.574358949 8.692407334 12.55012195 7.066334655 7.164253166 7.179723841 7.183030527 7.203836272 6.985770997 7.143252495 7.091633187 7.126305694 7.355812748 7.059068901 7.311436744
"X62" 10.1531248 7.067619925 7.159410856 11.32154996 9.897048275 8.363698867 9.988140138 7.054013907 7.268559147 7.843581768 6.852009465 10.67538909 7.208201236 6.616670625 8.441667127 12.25693843 6.921035144 7.034502091 7.277282157 7.322354911 7.180894459 6.78739413 6.991297391 7.070743545 8.106674984 7.080426477 7.515945568 7.142132011
"X63" 10.04031458 7.138918885 6.512144585 9.195380745 9.082774722 8.009283101 8.128876693 7.424662848 7.180663018 8.132006187 6.846383924 9.504851962 7.041428235 6.496559475 8.408560452 13.07706793 6.863379426 7.029216179 7.443242392 7.300336208 7.24525373 6.845583905 7.006135868 6.941068046 7.60137487 7.069852035 7.258273401 7.11307655
"X64" 10.59275356 7.213732756 7.249056601 9.668512952 8.067018573 8.395462011 9.064530671 6.949577958 7.118489752 7.858844217 6.765350621 10.57254804 7.052412592 6.802810685 8.049514073 12.31850385 6.928140898 6.933302475 7.291140568 7.115334352 7.184181269 7.015720939 7.227203199 7.040829541 7.662820557 7.152110568 7.591535834 7.157905945
"X65" 9.617542546 7.307245484 7.148448289 8.934039288 7.933509596 7.489051087 7.601681057 6.95286638 7.01632507 8.148133213 7.012265181 9.241690295 7.045488446 6.598186174 8.918014188 13.17347734 6.971029077 6.92396515 7.183012826 7.271550003 7.24779781 7.168598399 6.997288506 7.016218347 7.790863431 7.079022318 7.565175975 7.140143817
"X66" 9.588326531 7.30948779 7.231217941 8.121314256 9.457327906 7.268738908 7.046977649 6.85173769 7.722514723 8.300207058 6.795271028 8.61024937 7.040856008 6.789260529 8.956138048 13.02059728 7.469207752 7.027381034 7.140701799 7.073826496 7.164165472 7.353870449 7.08988224 7.078507104 7.84013069 7.151639949 7.22502915 7.221499575
"X67" 9.846537395 7.167303279 6.976850155 8.535989664 7.171271699 7.27105583 7.436097908 6.992199706 7.488952865 8.8221644 6.894155129 9.420832389 7.080517292 7.594559787 9.097005552 12.98114509 7.557285567 7.009811471 7.197132401 7.217574555 7.345933531 7.059571078 7.072166531 7.064523018 7.643413668 7.149357732 7.532913733 7.145394932
"X68" 9.979565487 7.046453161 7.001480718 7.697344403 8.675591041 7.247604108 7.446899949 7.158432655 7.222335689 8.050933399 6.871230366 8.32759305 7.0166456 6.869735178 8.707151006 12.97179303 6.906645317 7.036819388 7.098053143 7.018921038 7.382516325 6.944596519 7.025040451 7.00437769 7.075954175 7.147422389 6.839996282 7.113608788
"X69" 9.074984939 7.043020955 7.268356143 7.965764364 9.364924713 7.30701356 7.08232288 6.907887161 7.175004024 9.015165459 6.838972505 8.999181985 7.024253024 7.18754097 8.897889325 12.86851893 6.936408946 7.058834546 7.198097518 7.210485707 7.112911572 6.737667169 7.151893758 7.073018738 7.199228009 7.133831268 6.838217405 7.182092524
"X70" 9.766207078 7.16634824 7.253957582 8.273269375 8.801559138 7.915381005 7.971116693 7.028089855 6.967981824 8.01518151 6.767687361 10.52016816 7.014419706 6.570770819 9.111656239 12.93073354 7.311809612 7.061481602 7.261641268 7.315456087 7.143686108 6.767787071 7.01230209 7.073498016 7.450686667 7.129487581 7.029748871 7.216745305
"X71" 9.751360968 7.189789469 6.936476906 8.559204855 8.589930328 7.357465824 7.032235492 6.937029797 7.107788559 8.456270621 6.877811268 8.714939958 7.022632022 6.589178771 8.826146702 13.08699133 6.958994356 7.002677791 7.182345935 7.186559758 7.295293811 6.965420974 6.9981528 7.094138701 7.335305093 7.04316324 7.285538973 7.173168298
"X72" 9.411452771 7.588143824 7.072875569 8.98852105 10.69091596 7.311706754 7.636445516 6.975338478 7.189099765 8.469524329 6.86128943 8.552757171 7.127893418 6.877640802 8.909034326 12.79258635 6.813087954 7.024147257 7.10449521 7.285435325 7.457105833 6.810168796 7.013621251 7.056374763 7.554772967 7.00420371 7.582293166 7.134898902
"X73" 11.07145127 7.0832864 7.326056319 8.300707409 9.451968126 7.553784539 7.89954066 7.021516073 7.054061507 8.868205779 6.889165967 8.599262135 7.030706189 7.156866746 9.310773274 12.55619918 7.03701311 7.082137099 7.124722838 7.200835329 7.138281027 6.895075914 7.231084747 7.091545224 7.416634693 7.178437938 7.048782521 7.444770584
"X74" 10.22987594 7.05614282 7.250604098 9.490059764 9.198712846 7.819898592 8.878405407 6.978919227 7.144783234 8.389150715 6.937646265 10.50411523 7.027551909 6.956146477 7.452521835 12.2383938 7.713850063 7.042949161 7.072478079 7.023198867 7.122179226 7.343104685 7.031606952 7.030970716 7.90574683 7.084625982 7.458324494 7.262166504
