"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32" "PC33" "PC34" "PC35" "PC36" "PC37" "PC38" "PC39" "PC40" "PC41" "PC42" "PC43" "PC44" "PC45" "PC46" "PC47" "PC48" "PC49" "PC50"
"X2" -37.8145548631641 36.4931260182501 -45.2370912873432 2.16981443848291 -45.9563864408157 8.09874228226097 -3.00932245260227 4.8300781018273 -5.89196307439943 23.0049127937518 -8.63118382864236 10.8047340534834 -22.4193246552794 20.8914705128203 -3.01015296622683 5.34236194099475 -4.73108942458715 2.16771545146027 -5.07779595374388 8.42040759816808 -23.2023292284845 5.41845335089207 -7.12853489467103 -0.696325723969576 4.29103726143262 4.97091245813863 -15.0843301406047 11.1335631322502 -8.79295636409108 9.46513707561378 -6.77184310584169 5.33714045628287 -0.605312346601122 9.24474811956963 -2.94768523192294 3.80871981528884 -4.54201417779627 0.639154961257116 0.52168398987302 -4.02914952298273 6.36674613082293 -7.14317207518436 6.47260861309836 2.7943717856762 11.9013461568419 -2.62522543643764 -0.919979780041879 6.84605246520012 2.88794806717274 6.09926687599116
"X3" -64.7370269878428 13.1400651252341 -71.889279468056 -14.0417167737441 -63.8995856372763 20.1915056514414 30.8256505936676 31.5031899975694 18.7256149868015 35.3174375258636 7.87334716129266 -19.4640946382925 6.79324039742222 23.6130499993046 5.69916326616675 -17.8863633568596 -2.0068819043273 -7.56152575352235 10.8513297340546 26.574900602674 -26.4617520733207 -10.363392720619 -40.4190908538625 -32.581606092588 17.3937505492122 -5.4147807527288 -54.9854836843347 29.9401349805996 2.85932874574189 -16.7715171737986 -1.74318304945534 10.2290553961106 -4.64766050466929 7.02688453275674 -1.49366281103254 4.48474154579156 0.729135759416186 13.4723905806734 0.406278448052714 -9.98557256302741 -0.206513104097132 -1.86162829469223 -5.95308926230659 12.0289307260396 -12.7931979719212 14.5426178124239 -11.7962426117157 12.6711982925277 -15.2863247269697 -10.008268167477
"X57" -40.8375862891154 24.6813821703354 -10.0895795241381 29.1848785108881 22.5671756197879 42.238566915995 25.2659128792644 9.29073717557768 10.6409523566883 -42.8084705109025 -24.4859757449519 8.32490212010012 -25.4956042565608 -5.94224752154659 6.21731437316365 8.08499365183083 -9.96300768231111 2.41963495573236 -14.2737569967231 7.18878942413492 2.78923039746629 3.25545095521174 1.63872127924668 17.6043506127344 -12.0241882335726 27.6774295664766 -11.374956228421 -18.0155059923892 -4.17641110030561 -11.9615113390743 2.32746866043703 -1.6801993947755 -5.91986000101753 0.250033256666824 -15.8334643061824 6.15631036997185 1.17604393639021 -4.99480011157651 -1.31184564606825 -3.11165826729539 4.92932215531323 10.3169725065553 2.5373733953143 6.52367261181912 2.92811071210482 -4.79963909953755 0.352414445649047 9.39211697902362 -1.53653503310665 -9.20661079937496
"X58" -88.2666676297341 -73.6395093070685 48.6384849967732 -14.2326841153951 -30.0817675614229 19.7724397542441 0.168803561585009 9.27278729131961 -31.9452142420458 -26.2302293730128 -27.0461909186459 -4.29257105573731 2.79659694794474 15.8229218107661 -0.0360830151021589 -2.7798073123869 -6.55076190855521 18.7940523543567 -1.13286044708296 -9.91745679157425 7.86889751526147 12.7506302647299 -9.70207071266149 7.51006876765479 -7.35212020725142 10.6570614558418 -6.94675093784011 -8.78776233591862 22.3212915721675 -5.34120585019197 -6.55500872323046 6.85933904630959 2.93186174521532 6.04193846492018 6.07672228171142 -16.244395560085 19.0850753286432 0.742869708455912 -10.1991631390249 -11.7731505679408 -11.6256926314194 -10.0629643002618 14.6752703247252 -4.78113631943859 10.5427862755544 -6.76925676241234 -10.2909762622956 2.12546585883963 12.2973759145952 6.35396265832176
"X59" -60.1501112420962 -7.03972610053602 -6.0205490519797 30.3629216812171 39.9241072528266 40.8699332894088 59.5553485022664 42.6031831282902 32.3556118097807 -49.7261891680305 -30.3838281061409 16.196818931174 -12.2291718280915 -41.7351987764247 23.775910454253 3.17738627152652 0.371534188310104 16.6950537826993 6.43511545199271 6.6973902855235 -4.26694666645347 -14.8368456793776 -1.1315808288873 -5.64245409111812 -14.2868412321099 -3.85323961078376 -3.21405812608162 2.49395051415229 9.58000680893505 0.170093822194427 11.198939028546 -2.75987835907432 9.01147133186159 -9.19111428583406 -22.1024587893201 -0.44831174199848 3.29128224435971 4.31633653767874 6.98181836561695 10.7060539446932 1.73636387010323 15.0638177685385 -2.15454815635928 6.36379902522208 8.43272874889106 3.67340015760529 -4.79719409396712 0.284393017834288 -3.20206065074096 1.47066918377972
"X60" -75.2480153782862 -26.7270567286065 -12.1540992973114 -21.9389375918301 11.7481226187521 23.6330599272487 18.9040770881103 12.389309762357 -46.8553371286472 -28.0084374805565 5.07825862143639 7.16827627962767 -16.5199688137386 4.22515827184045 23.1868013969474 -4.70433665345525 3.3144016353625 1.62918706412683 13.3880068606589 18.7384479720053 -5.09714996483663 6.43274742725613 -2.58780074460549 -7.08443011181578 -0.442387043999094 17.6978137522098 8.99050091598577 -6.44196068096295 8.647031100928 -3.80594367439563 -5.89933148403801 2.23308583381621 -8.34497661222135 3.40930596162411 8.36943502741855 -1.12207776057097 8.39927899768507 1.0083821677625 8.17661339260044 -0.378666029887813 -9.43697817592203 5.0234405152753 5.78568347785403 5.88460460110458 4.86899527233882 -11.0931382665864 -4.03602152892781 -5.43096475110701 0.927110963185405 0.854723854867874
"X61" -48.5869330752413 4.33446895538084 9.06226464538225 7.23907311217532 4.96099960630102 25.8305397949604 18.1072424417426 -3.44654925690836 -34.5120219270508 -16.8070706987695 -21.1569419142571 -2.59363891673376 -9.55859386789087 2.01932713863652 0.124727201523933 -2.95830340774059 4.30586281252211 11.9662763771366 15.3486776780848 -4.76073879797427 5.20385749511547 12.1301662357586 -8.18181634267666 23.6222164470548 -7.45339127854325 18.1472591016324 -6.74385909502772 -16.6574163497234 4.91148876940399 -7.26957424994508 -15.7210474819688 16.3118623258167 9.48500425160994 6.19980735009586 6.66690791584974 -1.53728709422255 1.78848078724161 12.9283713429221 -2.42988729484716 6.67093748919443 14.025375802265 -4.77745059522677 -6.22217063815919 -0.74152390477607 -2.08068118232606 -1.97409004831422 -5.28646580598918 6.40496826191209 0.56810368851981 13.1892797971216
"X62" -76.065958085103 -18.6641791542316 46.8858871330747 -42.8990081635498 -24.909516713495 10.1660655967244 0.554692530336681 6.77118876069298 -4.41445711135688 -18.7489848800112 -18.7206202778491 -16.4837327932764 3.34207490786724 -7.17394991886243 -0.84053615386457 -3.75061292441712 -2.65314138488496 -5.04571477280986 12.0940351650955 -13.8946752505613 2.52226768014902 18.1535983089475 -8.3605306617041 12.1246107457123 -5.4303922317807 0.668809840871742 -0.819187368793743 -0.143232278165064 16.604351591573 -3.65090803204586 -4.28547080276839 6.92538757215077 2.79383232586558 10.9639534637083 4.82473306775906 -14.4963785360719 5.34764471823367 -2.9556499371421 4.84319960939972 -3.20638904245925 -8.85265528987583 -3.26542134850098 -0.179482916068954 -2.04023754161053 10.939428864495 -6.18025618694948 -3.85823223238609 2.15820477486504 1.33970125271285 -5.1250772474498
"X63" -72.7067426489715 -12.8117635263356 -1.67486593861547 -21.1400882299819 32.466188050422 42.1796077893369 32.8282384080501 22.9320561845989 -15.9959665462621 -41.6905434064318 -3.33813661577795 13.5282482194575 -10.5781879487064 -4.53151215798207 20.3036971773361 -0.850674695579183 9.59790846593752 5.57519136550233 6.59659100902823 19.4736398998067 -2.70831635497687 1.95049355244308 2.13330694877144 0.752522185468238 -6.74337990808819 11.1980514620265 2.24505329662645 -0.276205935041315 -7.31501155521661 0.307426097611554 12.3075579723465 -2.26924769239778 0.665752689288729 -2.3224100015853 3.48208022561685 2.39873474864777 1.05312237845987 -2.62236438760981 3.65279667195479 -2.48774551848934 -5.98148111813407 5.74963651721278 4.43407789312594 3.97002942064839 3.65950785326302 -9.97246321355902 -2.7681168133902 -1.9372053099476 3.62818277006127 -2.10367336001195
"X64" -55.9729454652105 -16.5513642792847 23.8203607151536 -16.3293930755885 14.7959241295043 28.4556571167684 6.91077951316705 2.60859584912088 -19.5552331285053 -13.4221542570812 -0.305824033999824 -4.25497332520281 -5.15879009557727 -1.84788576872174 12.7741086154741 -1.17948475756333 5.515269106925 0.226117143006869 5.26013542384031 13.375854570292 -7.32386919141993 14.2466492806886 1.48040448400796 1.82404064997956 -3.66232684661824 10.9784330633441 7.31390552282148 -3.49165776543559 -1.32210629781292 -6.33282217469379 -10.5043650887316 2.63551571855191 4.05899880134371 13.8277998711173 17.259313775212 -6.16380017826103 2.80257649662076 -4.65639893632365 11.6711876110184 1.19526885850118 -8.01944204089825 2.4350340406767 -3.27098453764862 1.71869266232665 0.0718809085056735 -3.55123755352644 -10.5073452473142 -5.08821350456386 3.72872642289629 -1.87251056045028
