"cyto" "RNA" "cytokine"
"X97" "-0.277818050125863" "-0.0191486298369747" "GRO.alpha"
"X98" "0.0539887350048663" "0.647202531045711" "GRO.alpha"
"X99" "0.199774919811807" "0.16594349942039" "GRO.alpha"
"X100" "-0.0969073448537757" "0.0917327985275504" "GRO.alpha"
"X101" "0.0599617916698" "0.718398901915503" "GRO.alpha"
"X102" "1.33608151833694" "0.120637306775181" "GRO.alpha"
"X103" "1.27877784788422" "-0.127445661588784" "GRO.alpha"
"X104" "0.297985923244705" "0.12351198069707" "GRO.alpha"
"X105" "1.12167738224283" "-0.0793108610939318" "GRO.alpha"
"X106" "0.791657968942044" "-0.130084048779354" "GRO.alpha"
"X107" "0.640402863795931" "-0.198071279639264" "GRO.alpha"
"X108" "0.665033312089771" "-0.0408913183355988" "GRO.alpha"
"X109" "0.741220644599665" "-0.385908517363626" "GRO.alpha"
"X110" "-0.496144405573172" "0.394412276032822" "GRO.alpha"
"X111" "-1.24569368950056" "-0.338351273353514" "GRO.alpha"
"X112" "0.40648332826714" "0.409531918878281" "GRO.alpha"
"X113" "-0.0813800210492394" "0.106105203545804" "GRO.alpha"
"X114" "-1.03746663172945" "0.069723931193565" "GRO.alpha"
"X115" "-0.916557614442332" "-0.15421700499634" "GRO.alpha"
"X116" "-0.574731336562459" "-0.122232769394073" "GRO.alpha"
"X117" "-0.354071707627547" "-0.199871434762936" "GRO.alpha"
"X118" "-1.11902125342949" "-0.250193078382756" "GRO.alpha"
"X119" "-1.18254168825787" "-0.0303478441548594" "GRO.alpha"
"X120" "-0.213710075884071" "-0.266225445943649" "GRO.alpha"
"X121" "-0.798290938186632" "0.360710872378633" "GRO.alpha"
"X122" "-0.481235410485267" "0.286335794307652" "GRO.alpha"
"X123" "1.51083971196471" "-0.212091666851484" "GRO.alpha"
"X124" "0.54359245328289" "-0.421004433586059" "GRO.alpha"
"X125" "-0.865709472455834" "0.368117616566857" "GRO.alpha"
"X127" "0.802546561711542" "0.00405432211161103" "GRO.alpha"
"X128" "0.772933551756568" "0.298688979085841" "GRO.alpha"
"X129" "0.795666014836417" "-0.266731746126412" "GRO.alpha"
"X130" "0.539681164337474" "-0.0829822327102722" "GRO.alpha"
"X131" "1.79066110761126" "-0.252496795912633" "GRO.alpha"
"X132" "-1.09511322444014" "0.0204043706408274" "GRO.alpha"
"X133" "1.25552308353761" "0.248392311022946" "GRO.alpha"
"X134" "-0.782074917754573" "-0.146868558846618" "GRO.alpha"
"X135" "-0.65412393958022" "0.0218676692675546" "GRO.alpha"
"X136" "-0.488798559808167" "0.0540701469688144" "GRO.alpha"
"X137" "-1.63549506973711" "0.0239431095063868" "GRO.alpha"
"X138" "0.340521279894015" "0.130880588049076" "GRO.alpha"
"X139" "-0.90908429724868" "0.0814411298130859" "GRO.alpha"
"X140" "0.104810888437659" "0.554234193205448" "GRO.alpha"
"X141" "-0.0448278389416822" "-0.120624186848137" "GRO.alpha"
"X142" "-0.102841836598163" "-0.138286660036928" "GRO.alpha"
"X143" "1.10007620327018" "0.00159193471582382" "GRO.alpha"
"X144" "-0.16621305593656" "-0.105898770514824" "GRO.alpha"
"X145" "-0.0243567620521112" "0.1382282461154" "GRO.alpha"
"X146" "0.0974728951233982" "0.263389032095318" "GRO.alpha"
"X147" "-0.446209429017832" "-0.0845758742957243" "GRO.alpha"
"X148" "0.298274925424406" "0.453031541024756" "GRO.alpha"
"X149" "-1.52360236883355" "-0.00917003306464315" "GRO.alpha"
"X150" "0.328596058465128" "-0.0724312365639639" "GRO.alpha"
"X151" "1.24142263439006" "-0.0936639055056241" "GRO.alpha"
"X152" "-2.01433456615378" "0.640468078485532" "GRO.alpha"
"X153" "-0.690803717790061" "-0.0861956401981729" "GRO.alpha"
"X154" "-0.312740202289186" "0.142281539252456" "GRO.alpha"
"X155" "0.350314234011702" "0.0734103934027122" "GRO.alpha"
"X156" "-0.563753683855464" "0.626270829267488" "GRO.alpha"
"X157" "-0.304823247209802" "0.0844923533012514" "GRO.alpha"
"X158" "1.46722079323542" "-0.370336240693686" "GRO.alpha"
"X159" "-0.213613760533305" "0.353517457327565" "GRO.alpha"
"X160" "0.665917178412263" "-0.20372287709581" "GRO.alpha"
"X161" "0.332840441617253" "0.386565431298741" "GRO.alpha"
"X162" "-0.654304350907911" "0.0656791562127118" "GRO.alpha"
"X163" "1.20487378968913" "-0.124088266317936" "GRO.alpha"
"X164" "0.813231360573469" "-0.101428355573202" "GRO.alpha"
"X165" "0.466838770380448" "0.0861010160630275" "GRO.alpha"
"X166" "0.0688660904413669" "0.276389989335254" "GRO.alpha"
"X167" "-0.958820627149737" "-0.00777132824325544" "GRO.alpha"
"X168" "-0.192707882866375" "0.114962064777997" "GRO.alpha"
"X169" "-1.11229651244045" "0.474580865406138" "GRO.alpha"
"X170" "-1.4832332404567" "-0.0352920780297095" "GRO.alpha"
"X171" "-0.489532163456388" "0.21799109716913" "GRO.alpha"
"X172" "0.116775572322169" "-0.213766941249704" "GRO.alpha"
"X173" "-1.65400609743775" "0.209893395020085" "GRO.alpha"
"X174" "-1.29872818708165" "0.286886383282681" "GRO.alpha"
"X175" "-1.21969768066197" "0.0272708507926634" "GRO.alpha"
"X176" "-0.498954434110324" "0.0428003391895785" "GRO.alpha"
"X177" "-0.269866611004859" "0.0989005348169872" "GRO.alpha"
"X178" "2.38917720290413" "0.0496576939200669" "GRO.alpha"
"X179" "1.94017539755721" "0.128184932346024" "GRO.alpha"
"X180" "0.608583476405446" "-0.218011100898671" "GRO.alpha"
"X181" "1.08817007296716" "0.133402327183535" "GRO.alpha"
"X182" "-0.0299444159668691" "0.16355811471684" "GRO.alpha"
"X183" "0.113681360130532" "-0.207332440727888" "GRO.alpha"
"X184" "1.73454178990677" "-0.382210534011167" "GRO.alpha"
"X185" "-0.836451986897028" "-0.0749755144444987" "GRO.alpha"
"X186" "-0.956962382465572" "0.349727532968348" "GRO.alpha"
"X187" "-0.622897714924457" "0.244027938634795" "GRO.alpha"
"X188" "0.000377859496544841" "-0.240656166354311" "GRO.alpha"
"X189" "-0.66878964115465" "0.0104618891195933" "GRO.alpha"
"X190" "-0.458190781292144" "-0.321439672069777" "GRO.alpha"
"X191" "-0.122637135665266" "-0.352534346896702" "GRO.alpha"
"X192" "-1.37957954587024" "-0.309013307755452" "GRO.alpha"
"X193" "-1.65346416653298" "-0.855595582464145" "GRO.alpha"
"X194" "-0.533113051939651" "-0.09973313353439" "GRO.alpha"
"X195" "-0.286168376903427" "0.170041231054693" "GRO.alpha"
"X196" "0.0896065305379633" "-0.374330987124291" "GRO.alpha"
"X197" "2.34067284081764" "-0.490438574545142" "GRO.alpha"
"X198" "0.209886850241526" "-0.271823743023442" "GRO.alpha"
"X199" "-2.06463100959294" "-0.212354674974267" "GRO.alpha"
"X200" "-1.28445114662261" "0.183368041794878" "GRO.alpha"
"X201" "-1.04998453406216" "0.189595054927383" "GRO.alpha"
"X202" "-1.37587669875683" "0.0822912398918076" "GRO.alpha"
"X203" "0.195043213426822" "0.222891422740939" "GRO.alpha"
"X204" "-0.12753839576816" "-0.40830452742827" "GRO.alpha"
"X205" "-0.465506376320395" "-0.232194853371502" "GRO.alpha"
"X206" "-0.535594667885656" "-0.015794472625994" "GRO.alpha"
"X207" "-0.606271552550102" "-0.218352307150916" "GRO.alpha"
"X208" "1.27974050121701" "-0.199581981231543" "GRO.alpha"
"X210" "0.588307179412894" "-0.0332221157896683" "GRO.alpha"
"X211" "2.1432553543221" "-0.164914224623297" "GRO.alpha"
"X212" "0.304883902945812" "-0.0449803222499065" "GRO.alpha"
"X213" "0.214936203853011" "-0.0376398704326466" "GRO.alpha"
"X214" "-0.627287731844759" "-0.408145066128513" "GRO.alpha"
"X215" "0.299392578400267" "-0.0907565976551106" "GRO.alpha"
"X216" "-0.158192854183338" "0.114959193133475" "GRO.alpha"
"X217" NA "-0.270959425298795" "GRO.alpha"
"X218" "0.788865822308328" "-0.16443316193307" "GRO.alpha"
"X219" "0.363580425900261" "-0.115231560100069" "GRO.alpha"
"X220" "0.426922441931499" "-0.429573866224668" "GRO.alpha"
"X221" "0.621193871201828" "-0.0825705432966187" "GRO.alpha"
